timestamp,experiment_id,frame_id,motion_percent,num_rois,rois_json
2025-12-02T18:03:41.285Z,exp_1764698621285,130,61.6475,16,"[{""bbox"":[268,436,316,480]},{""bbox"":[319,265,377,303]},{""bbox"":[168,240,217,299]},{""bbox"":[178,180,202,238]},{""bbox"":[0,147,118,417]},{""bbox"":[278,52,339,90]},{""bbox"":[247,40,295,106]},{""bbox"":[147,24,173,72]},{""bbox"":[312,21,363,63]},{""bbox"":[338,8,397,61]},{""bbox"":[484,0,541,37]},{""bbox"":[0,0,640,480]},{""bbox"":[271,0,300,53]},{""bbox"":[0,0,238,151]},{""bbox"":[481,56,541,116]},{""bbox"":[258,248,460,450]}]"
2025-12-02T18:03:41.771Z,exp_1764698621771,135,61.9714,15,"[{""bbox"":[238,447,295,480]},{""bbox"":[29,383,73,425]},{""bbox"":[182,299,246,335]},{""bbox"":[66,274,116,331]},{""bbox"":[301,271,352,309]},{""bbox"":[0,176,118,395]},{""bbox"":[160,113,206,195]},{""bbox"":[109,45,176,87]},{""bbox"":[233,38,295,101]},{""bbox"":[240,4,292,55]},{""bbox"":[0,0,640,480]},{""bbox"":[293,0,390,70]},{""bbox"":[0,0,237,187]},{""bbox"":[481,56,541,116]},{""bbox"":[258,247,461,450]}]"
2025-12-02T18:03:42.225Z,exp_1764698622225,140,60.7663,11,"[{""bbox"":[260,430,299,480]},{""bbox"":[301,302,405,480]},{""bbox"":[91,269,128,322]},{""bbox"":[329,259,411,309]},{""bbox"":[289,86,346,130]},{""bbox"":[240,55,293,91]},{""bbox"":[363,12,414,47]},{""bbox"":[0,0,640,480]},{""bbox"":[270,0,318,34]},{""bbox"":[0,0,237,163]},{""bbox"":[259,248,461,450]}]"
2025-12-02T18:03:42.692Z,exp_1764698622692,145,61.5508,10,"[{""bbox"":[244,431,298,480]},{""bbox"":[297,305,403,480]},{""bbox"":[92,255,213,348]},{""bbox"":[174,184,206,259]},{""bbox"":[158,110,207,183]},{""bbox"":[261,105,307,144]},{""bbox"":[313,62,359,93]},{""bbox"":[227,21,271,66]},{""bbox"":[0,0,640,480]},{""bbox"":[258,249,458,449]}]"
2025-12-02T18:03:43.157Z,exp_1764698623157,150,61.2891,10,"[{""bbox"":[262,434,309,480]},{""bbox"":[66,358,115,393]},{""bbox"":[292,309,409,480]},{""bbox"":[315,265,372,307]},{""bbox"":[169,181,197,255]},{""bbox"":[0,0,640,480]},{""bbox"":[367,0,408,50]},{""bbox"":[252,0,377,151]},{""bbox"":[0,0,266,395]},{""bbox"":[256,247,458,449]}]"
2025-12-02T18:03:43.641Z,exp_1764698623641,155,41.666,8,"[{""bbox"":[0,280,45,415]},{""bbox"":[280,275,339,322]},{""bbox"":[0,189,42,283]},{""bbox"":[0,44,37,146]},{""bbox"":[120,40,640,480]},{""bbox"":[177,16,209,49]},{""bbox"":[28,0,172,33]},{""bbox"":[253,248,454,449]}]"
2025-12-02T18:03:44.082Z,exp_1764698624082,160,62.1182,8,"[{""bbox"":[301,237,399,309]},{""bbox"":[170,202,200,259]},{""bbox"":[94,90,135,143]},{""bbox"":[0,0,640,480]},{""bbox"":[243,0,372,38]},{""bbox"":[0,0,256,154]},{""bbox"":[482,57,542,117]},{""bbox"":[254,249,450,445]}]"
2025-12-02T18:03:44.572Z,exp_1764698624572,165,61.1445,7,"[{""bbox"":[128,365,163,422]},{""bbox"":[336,258,391,306]},{""bbox"":[84,63,133,125]},{""bbox"":[333,0,401,59]},{""bbox"":[258,0,306,43]},{""bbox"":[0,0,640,480]},{""bbox"":[253,250,451,448]}]"
2025-12-02T18:03:45.018Z,exp_1764698625018,170,61.5163,12,"[{""bbox"":[63,347,141,421]},{""bbox"":[304,276,369,305]},{""bbox"":[85,271,162,347]},{""bbox"":[93,120,133,169]},{""bbox"":[218,106,271,141]},{""bbox"":[121,64,157,114]},{""bbox"":[186,50,261,88]},{""bbox"":[314,25,384,77]},{""bbox"":[0,0,640,480]},{""bbox"":[320,0,359,45]},{""bbox"":[0,0,235,165]},{""bbox"":[252,249,451,448]}]"
2025-12-02T18:03:45.473Z,exp_1764698625473,175,61.153,11,"[{""bbox"":[270,431,314,468]},{""bbox"":[118,375,161,422]},{""bbox"":[300,319,396,480]},{""bbox"":[273,279,320,317]},{""bbox"":[331,252,387,315]},{""bbox"":[112,23,165,65]},{""bbox"":[310,2,365,75]},{""bbox"":[88,0,640,480]},{""bbox"":[230,0,326,51]},{""bbox"":[0,0,235,480]},{""bbox"":[250,248,452,450]}]"
2025-12-02T18:03:45.916Z,exp_1764698625916,180,42.4076,8,"[{""bbox"":[332,261,373,297]},{""bbox"":[0,192,39,384]},{""bbox"":[0,42,35,163]},{""bbox"":[118,0,640,480]},{""bbox"":[179,0,215,53]},{""bbox"":[0,0,115,31]},{""bbox"":[478,53,542,117]},{""bbox"":[255,251,453,449]}]"
